hhid,d_code,v_code,a13,group,b11,b12,d11,d13_q_01,d13_q_02,d13_q_03,d13_q_04,d13_q_05,d13_q_06,d13_q_07,d13_q_08,d13_q_09,d13_q_10,d13_u_01,d13_u_02,d13_u_03,d13_u_04,d13_u_05,d13_u_06,d13_u_07,d13_u_08,d13_u_09,d13_u_10,d6_code_1,d6_code_2,d6_code_3,d6_code_4,d6_code_5,d6_code_6,d6_code_7,d61_1,d61_2,d61_3,d61_4,d61_5,d61_6,d61_7,g21,g_crops,g_livestock,g22,g23,g24,g25,g26,g27,g28,g29_men,g29_women,g29_child,g210_men,g210_women,g210_child,g211,g212,g212_spec,l11,l11_id,l_1_code_01,l_1_code_02,l_1_code_03,l_1_code_04,l_1_code_05,l_1_code_06,l_1_code_07,l_1_code_08,l_1_code_09,l_1_code_10,l_1_code_11,l_1_code_12,l_1_code_13,l_1_code_14,l_1_code_15,l_1_code_16,l_1_code_17,l_1_code_18,l12_01,l12_02,l12_03,l12_04,l12_05,l12_06,l12_07,l12_08,l12_09,l12_10,l12_11,l12_12,l12_13,l12_14,l12_15,l12_16,l12_17,l12_18
101207,1,101,207,Control,male,5,7,48,30,15,9,9,6,2,,,,decimals,decimals,decimals,decimals,decimals,decimals,decimals,,,,green manure,mulching,seedbed method for rice,alternate wet/dry method,line planting,double transplanting of paddy,dapog method of seed sowing,0,0,0,0,0,0,0,none,608,30000,15000,500,none,none,160000,none,none,none,none,none,240000,none,none,none,none,,yes,2,rice and cereals,wheat flour,white roots and tubers,yellow/orange vegetables and tubers,dark green leafy vegetables,other vegetables,vitamin a rich fruits,other fruits,organ meat,flesh meat,eggs,fish,"legumes, nuts and seeds",milk and milk products,oils and fats,sweets,"spices, condiments, beverages",Any food from OUTSIDE of the home?,yes,yes,yes,yes,0,yes,0,0,0,0,yes,yes,yes,yes,yes,0,yes,0
101601,1,101,601,Control,male,5,24,45,42,42,39,39,30,30,9,15,,decimals,decimals,decimals,decimals,decimals,decimals,decimals,decimals,decimals,,green manure,mulching,seedbed method for rice,alternate wet/dry method,line planting,double transplanting of paddy,dapog method of seed sowing,0,0,0,0,yes,yes,0,none,,21000,28275,none,8800,none,none,none,none,none,none,none,none,none,none,none,none,,yes,2,rice and cereals,wheat flour,white roots and tubers,yellow/orange vegetables and tubers,dark green leafy vegetables,other vegetables,vitamin a rich fruits,other fruits,organ meat,flesh meat,eggs,fish,"legumes, nuts and seeds",milk and milk products,oils and fats,sweets,"spices, condiments, beverages",Any food from OUTSIDE of the home?,yes,yes,yes,0,0,yes,0,yes,0,0,0,0,yes,0,yes,yes,0,yes
101402,1,101,402,Control,male,5,8,42,20,20,18,15,12,12,7,,,decimals,decimals,decimals,decimals,decimals,decimals,decimals,decimals,,,green manure,mulching,seedbed method for rice,alternate wet/dry method,line planting,double transplanting of paddy,dapog method of seed sowing,0,0,0,0,0,0,0,none,2405,4500,none,none,10000,none,none,none,none,-99,none,none,80000,none,none,none,none,,yes,2,rice and cereals,wheat flour,white roots and tubers,yellow/orange vegetables and tubers,dark green leafy vegetables,other vegetables,vitamin a rich fruits,other fruits,organ meat,flesh meat,eggs,fish,"legumes, nuts and seeds",milk and milk products,oils and fats,sweets,"spices, condiments, beverages",Any food from OUTSIDE of the home?,yes,yes,yes,yes,yes,yes,yes,0,0,yes,0,yes,0,yes,yes,yes,yes,0
101503,1,101,503,Control,male,4,5,100,28,24,21,10,,,,,,decimals,decimals,decimals,decimals,decimals,,,,,,green manure,mulching,seedbed method for rice,alternate wet/dry method,line planting,double transplanting of paddy,dapog method of seed sowing,0,0,0,0,yes,0,0,,12740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101114,1,101,114,Control,male,5,9,14,8,8,8,4,5,3,3,1.5,,decimals,decimals,decimals,decimals,decimals,decimals,decimals,decimals,decimals,,green manure,mulching,seedbed method for rice,alternate wet/dry method,line planting,double transplanting of paddy,dapog method of seed sowing,0,0,0,0,yes,0,0,none,,9000,12000,none,none,none,none,none,none,29000,1100,none,none,none,none,none,none,,yes,2,rice and cereals,wheat flour,white roots and tubers,yellow/orange vegetables and tubers,dark green leafy vegetables,other vegetables,vitamin a rich fruits,other fruits,organ meat,flesh meat,eggs,fish,"legumes, nuts and seeds",milk and milk products,oils and fats,sweets,"spices, condiments, beverages",Any food from OUTSIDE of the home?,yes,yes,yes,0,0,yes,0,0,0,0,0,yes,yes,0,yes,yes,yes,0
102301,1,102,301,Control,male,5,6,60,30,21,26,12,6,,,,,decimals,decimals,decimals,decimals,decimals,decimals,,,,,green manure,mulching,seedbed method for rice,alternate wet/dry method,line planting,double transplanting of paddy,dapog method of seed sowing,0,0,0,0,0,0,0,,1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102312,1,102,312,Control,male,5,8,36,32,30,30,30,26,12,10,,,decimals,decimals,decimals,decimals,decimals,decimals,decimals,decimals,,,green manure,mulching,seedbed method for rice,alternate wet/dry method,line planting,double transplanting of paddy,dapog method of seed sowing,0,0,0,0,0,0,0,none,20350,,none,none,8500,none,none,none,none,none,none,none,none,none,none,none,none,,yes,2,rice and cereals,wheat flour,white roots and tubers,yellow/orange vegetables and tubers,dark green leafy vegetables,other vegetables,vitamin a rich fruits,other fruits,organ meat,flesh meat,eggs,fish,"legumes, nuts and seeds",milk and milk products,oils and fats,sweets,"spices, condiments, beverages",Any food from OUTSIDE of the home?,yes,0,yes,0,0,yes,0,0,0,0,yes,0,yes,0,yes,yes,yes,0
102550,1,102,550,Control,male,5,no plots,,,,,,,,,,,,,,,,,,,,,green manure,,,,,,,,,,,,,,none,,,none,none,none,none,none,none,none,33600,none,none,none,none,none,none,none,,yes,2,rice and cereals,wheat flour,white roots and tubers,yellow/orange vegetables and tubers,dark green leafy vegetables,other vegetables,vitamin a rich fruits,other fruits,organ meat,flesh meat,eggs,fish,"legumes, nuts and seeds",milk and milk products,oils and fats,sweets,"spices, condiments, beverages",Any food from OUTSIDE of the home?,yes,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,yes,yes,0
102376,1,102,376,Control,male,8,5,28,22,15,7,9,,,,,,decimals,decimals,decimals,decimals,decimals,,,,,,green manure,mulching,seedbed method for rice,alternate wet/dry method,line planting,double transplanting of paddy,dapog method of seed sowing,0,0,0,0,0,0,0,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102549,1,102,549,Control,male,4,no plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,,,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,,yes,2,rice and cereals,wheat flour,white roots and tubers,yellow/orange vegetables and tubers,dark green leafy vegetables,other vegetables,vitamin a rich fruits,other fruits,organ meat,flesh meat,eggs,fish,"legumes, nuts and seeds",milk and milk products,oils and fats,sweets,"spices, condiments, beverages",Any food from OUTSIDE of the home?,yes,yes,yes,yes,yes,yes,0,0,0,0,0,yes,yes,0,0,yes,0,0
